1,51ccd86b-015f-4584-b434-277f84c83c91,72,41,881
2,3fcf1c1a-3133-4df6-8654-824948889b3d,93,77,437.95
3,e88c2a77-67c3-4e9e-abd1-c0b3d33c80e1,22,18,842
4,ceafcffe-f590-4732-8ba0-d93af7be9b0a,86,51,318.25
5,87a54cf3-f137-4bde-b4ea-1a55a5147922,91,93,333.45
6,871852b7-f49b-4c44-a399-8213480f6521,77,138,209.7
7,7910547a-0bc7-44b9-b814-1ef04eceeb69,6,119,546.3
8,36234ba0-41fd-43e2-8a0f-85d44b189482,24,88,313.5
9,0d8daf5e-ec70-4715-9290-feedd1165665,77,102,209.7
10,9046d0e3-8187-4589-98a6-d8d80eb83109,16,30,355
11,1d195c6c-f5e4-4607-8622-3a9c3c9bd7df,16,99,337.25
12,f16c7a84-2705-476c-9429-a53c67f0c380,36,138,264.6
13,58e36237-7a73-4bbf-bf57-47c3d7192b2a,77,60,221.35
14,983f5c90-8067-4726-a500-e3a3fcfb4ac8,70,78,821.75
15,08eefef8-bd90-445c-8873-aae58c086024,37,93,430.35
16,111d0220-634f-41f0-bc02-f4a4a53130c4,29,110,64.8
17,72b1e5b0-c392-4ac8-9211-cb52dbd38743,32,5,351
18,c08171d6-54f4-4631-bda7-91f17fd4d6e7,8,50,27
19,8ee0f793-b914-4c4f-aaee-1f60d1164079,97,105,140.4
20,9516067a-5b0b-4634-bb12-1af6e765455a,93,51,437.95
21,7dfa7617-86b1-46d7-b6c8-71782a143855,29,103,64.8
22,f9d0feab-4afb-4a34-8df3-a85bb0edb93c,81,81,50.35
23,e681bbc2-ffc0-4d82-b8b8-361136106ad9,87,86,283.1
24,0d2a02f0-473b-4cd3-8cb4-ebbc6136ac97,90,90,424.65
25,226d2dcc-233f-4522-b68d-593af50d653d,88,54,346.75
26,8e0bc16c-a996-4e83-8748-bc415930f776,39,12,785
27,f906fa9d-cfc4-445e-9395-ddc15a1a5bac,61,52,159.6
28,6688a7f6-aa97-40c9-8e94-276ed46917f7,81,52,50.35
29,7f536216-adcf-40f4-9479-493f84e3d354,89,89,557.65
30,d00d4e05-cb36-46c3-a822-f93e2dd68ae0,28,94,847.4
31,55493879-3bea-46e5-a480-a6fa70fbfbc0,83,66,409.45
32,dc05655a-3993-4e39-98fd-733595c59464,5,135,222.3
33,a94ffe85-21be-40a7-8738-038bfc9c4535,5,42,247
34,13250a37-11c0-476d-a92c-fe287c2e2102,81,82,50.35
35,9ee7af7e-006a-4556-9a53-02391b922991,79,49,28
36,6bef9290-5dda-4895-903f-0c5738cdd840,66,131,477
37,bb77268b-9a46-4ed8-943b-c57948438eb7,64,13,899
38,6170339f-9f4f-4a7f-9d7b-0066134c9cbb,63,46,272
39,ae2e3b30-7cd7-4bf6-8618-a5c6de3aa0ff,81,13,53
40,c78ca302-1129-43c0-a08d-561c67e5817f,82,60,487.35
41,df5fa287-5cfd-480f-a75c-dd994a62fd95,71,88,35.15
42,0697e7c7-899b-4acb-80f2-2fc1ed3a6b0a,89,102,528.3
43,945a5dc8-6ad3-4944-9212-e3f725e108c7,65,123,826.2
44,b28f3290-880b-4878-a3a3-2f4fe3ee2921,12,63,188.1
45,381c6811-34c5-455a-9a6c-21791d5f0a68,83,23,431
46,c61e953b-4a0c-451d-b870-e9bb658b7a44,81,8,53
47,680b6b82-0e6f-4efb-a2ac-af3633f18a5a,7,104,289.8
